id,frame,budget,rule,estimate,ci_low,ci_high,note
yield_two_year_through_2024_D2_missing_percentile_0_b5,2017-2024 ex2020 2yr,5%,D2,-3.643786,-6.453219,-0.515823,"selected minus lottery over the same pool, percentile points"
yield_two_year_through_2024_D2_missing_percentile_0_b5_coverage,2017-2024 ex2020 2yr,5%,D2,63.372093,,,"share of selections with an observed outcome, %"
yield_two_year_through_2024_D2_missing_percentile_0_b5_slots,2017-2024 ex2020 2yr,5%,D2,344.000000,,,award slots at this budget
yield_two_year_through_2024_D2_missing_pool_mean_b5,2017-2024 ex2020 2yr,5%,D2,-1.539408,-3.762544,0.732992,"selected minus lottery over the same pool, percentile points"
yield_two_year_through_2024_D2_missing_pool_mean_b5_coverage,2017-2024 ex2020 2yr,5%,D2,63.372093,,,"share of selections with an observed outcome, %"
yield_two_year_through_2024_D2_missing_pool_mean_b5_slots,2017-2024 ex2020 2yr,5%,D2,344.000000,,,award slots at this budget
yield_two_year_through_2024_D2_missing_zero_citation_percentile_b5,2017-2024 ex2020 2yr,5%,D2,-2.800222,-5.178228,-0.212172,"selected minus lottery over the same pool, percentile points"
yield_two_year_through_2024_D2_missing_zero_citation_percentile_b5_coverage,2017-2024 ex2020 2yr,5%,D2,63.372093,,,"share of selections with an observed outcome, %"
yield_two_year_through_2024_D2_missing_zero_citation_percentile_b5_slots,2017-2024 ex2020 2yr,5%,D2,344.000000,,,award slots at this budget
yield_two_year_through_2024_mean_observed_only_b5,2017-2024 ex2020 2yr,5%,mean,6.992334,3.684760,9.995469,"selected minus lottery over the same pool, percentile points"
yield_two_year_through_2024_mean_observed_only_b5_coverage,2017-2024 ex2020 2yr,5%,mean,77.034884,,,"share of selections with an observed outcome, %"
yield_two_year_through_2024_mean_observed_only_b5_slots,2017-2024 ex2020 2yr,5%,mean,344.000000,,,award slots at this budget
yield_two_year_through_2024_mean_missing_percentile_0_b5,2017-2024 ex2020 2yr,5%,mean,9.177129,5.917263,12.353131,"selected minus lottery over the same pool, percentile points"
yield_two_year_through_2024_mean_missing_percentile_0_b5_coverage,2017-2024 ex2020 2yr,5%,mean,77.034884,,,"share of selections with an observed outcome, %"
yield_two_year_through_2024_mean_missing_percentile_0_b5_slots,2017-2024 ex2020 2yr,5%,mean,344.000000,,,award slots at this budget
yield_two_year_through_2024_mean_missing_pool_mean_b5,2017-2024 ex2020 2yr,5%,mean,5.228461,2.652556,7.588671,"selected minus lottery over the same pool, percentile points"
yield_two_year_through_2024_mean_missing_pool_mean_b5_coverage,2017-2024 ex2020 2yr,5%,mean,77.034884,,,"share of selections with an observed outcome, %"
yield_two_year_through_2024_mean_missing_pool_mean_b5_slots,2017-2024 ex2020 2yr,5%,mean,344.000000,,,award slots at this budget
yield_two_year_through_2024_mean_missing_zero_citation_percentile_b5,2017-2024 ex2020 2yr,5%,mean,7.523747,4.711518,10.230806,"selected minus lottery over the same pool, percentile points"
yield_two_year_through_2024_mean_missing_zero_citation_percentile_b5_coverage,2017-2024 ex2020 2yr,5%,mean,77.034884,,,"share of selections with an observed outcome, %"
yield_two_year_through_2024_mean_missing_zero_citation_percentile_b5_slots,2017-2024 ex2020 2yr,5%,mean,344.000000,,,award slots at this budget
yield_two_year_through_2024_variance_observed_only_b5,2017-2024 ex2020 2yr,5%,variance,0.575320,-2.396841,4.544171,"selected minus lottery over the same pool, percentile points"
yield_two_year_through_2024_variance_observed_only_b5_coverage,2017-2024 ex2020 2yr,5%,variance,69.767442,,,"share of selections with an observed outcome, %"
yield_two_year_through_2024_variance_observed_only_b5_slots,2017-2024 ex2020 2yr,5%,variance,344.000000,,,award slots at this budget
yield_two_year_through_2024_variance_missing_percentile_0_b5,2017-2024 ex2020 2yr,5%,variance,1.084588,-1.818172,4.495714,"selected minus lottery over the same pool, percentile points"
yield_two_year_through_2024_variance_missing_percentile_0_b5_coverage,2017-2024 ex2020 2yr,5%,variance,69.767442,,,"share of selections with an observed outcome, %"
yield_two_year_through_2024_variance_missing_percentile_0_b5_slots,2017-2024 ex2020 2yr,5%,variance,344.000000,,,award slots at this budget
yield_two_year_through_2024_variance_missing_pool_mean_b5,2017-2024 ex2020 2yr,5%,variance,0.309004,-1.790750,3.052592,"selected minus lottery over the same pool, percentile points"
yield_two_year_through_2024_variance_missing_pool_mean_b5_coverage,2017-2024 ex2020 2yr,5%,variance,69.767442,,,"share of selections with an observed outcome, %"
