budget_pct,slots,rule,scenario,resolved_selected,coverage,mean_percentile,ci_low,ci_high,difference_lottery,difference_ci_low,difference_ci_high
10,301,variance,observed_only,257.0,0.8538205980066446,44.683793983046236,41.50595516465241,48.292124655024715,3.575248257868182,0.4819381353284396,7.07093296514909
10,301,variance,missing_percentile_0,257.0,0.8538205980066446,38.15194369981024,34.84651756636103,41.804516790232405,3.6615094852013925,0.46872049129969734,7.1314744231353195
10,301,variance,missing_pool_mean,257.0,0.8538205980066446,44.529251682991315,41.8063544965489,47.62478075486544,2.9981648630742725,0.321807416920235,5.990104948087147
10,301,variance,missing_zero_citation_percentile,257.0,0.8538205980066446,40.158019049607155,37.099919449419076,43.52563357097668,3.4939706995078055,0.5287020255681185,6.756261201833366
10,301,max,observed_only,250.0,0.8305647840531561,50.12851475037327,47.497963228859916,54.4692791247407,9.019969025195216,6.444529505486963,13.293893302246012
10,301,max,missing_percentile_0,250.0,0.8305647840531561,41.63497902854923,38.73333635742307,45.86769959373595,7.144544813940385,4.389050448675822,11.159721531002596
10,301,max,missing_pool_mean,250.0,0.8305647840531561,49.00236654590784,46.773538907498846,52.695788624474794,7.471279725990797,5.308846118803086,11.027801940517305
10,301,max,missing_zero_citation_percentile,250.0,0.8305647840531561,43.95719860385339,41.39078872049196,47.97756611982837,7.2931502537540425,4.8264142276401865,11.137809718314315
10,301,max_resid,observed_only,251.0,0.8338870431893688,39.53719650620409,36.546655831482724,43.314481725119045,-1.571349218973964,-4.4290244095746525,2.0307430236491033
10,301,max_resid,missing_percentile_0,251.0,0.8338870431893688,32.96955589055557,30.100563098656018,36.44977218698792,-1.5208783240532782,-4.261320178933891,1.927323920259276
10,301,max_resid,missing_pool_mean,251.0,0.8338870431893688,40.228633168032566,37.76722126344957,43.4091928207953,-1.302453651884477,-3.746646403543547,1.6910868785343032
10,301,max_resid,missing_zero_citation_percentile,251.0,0.8338870431893688,35.24580717788884,32.58511585531386,38.56718711818108,-1.4182411722105073,-3.998289207077293,1.8771815972271164
10,301,lottery,observed_only,252.5416678079846,0.8390088631494504,41.108545725178054,40.50443501425017,41.70894442200048,0.0,0.0,0.0
10,301,lottery,missing_percentile_0,252.5416678079846,0.8390088631494504,34.49043421460885,33.8434636864704,35.157947906824596,0.0,0.0,0.0
10,301,lottery,missing_pool_mean,252.5416678079846,0.8390088631494504,41.53108681991704,40.87901921411067,42.179296099865724,0.0,0.0,0.0
10,301,lottery,missing_zero_citation_percentile,252.5416678079846,0.8390088631494504,36.66404835009935,36.07056410063937,37.25695749369444,0.0,0.0,0.0
